Organisation Name,Town/City,County,Type & Rating,Route
@ Home Accommodation Services Ltd,London,,Worker (A rating),Skilled Worker
0086 Ltd,London,,Worker (A rating),Skilled Worker
00Nation Limited,London,London,Worker (A rating),Skilled Worker
01 ACCOUNTING SERVICES LTD,London,,Worker (A rating),Skilled Worker
012 Global Ltd,London,,Worker (A rating),Skilled Worker
0xA Technologies Ltd,London,,Worker (A rating),Skilled Worker
1 ACE TRAINING LIMITED,London,,Worker (A rating),Skilled Worker
1 ALS LIMITED,London,,Worker (A rating),Skilled Worker
1 Bishops Avenue Limited,London,,Worker (A rating),Skilled Worker
1 Kings Dental Limited,London,,Worker (A rating),Skilled Worker
1 Stop Wash Ltd,London,,Worker (A rating),Skilled Worker
100 SHAPES LTD,London,,Worker (A rating),Skilled Worker
1000heads Ltd,London,,Worker (A rating),Skilled Worker
100Starlings Ltd,London,,Worker (A rating),Skilled Worker
101 Harley Street LTD,London,,Worker (A rating),Skilled Worker
101 Ways Limited,London,,Worker (A rating),Skilled Worker
107 Cannon Street Limited,London,,Worker (A rating),Skilled Worker
10BE5 LTD.,London,,Worker (A rating),Skilled Worker
10BIT FX LIMITED,London,,Worker (A rating),Skilled Worker
10Pearls Ltd,London,,Worker (A rating),Skilled Worker
10X Banking Technology Services Ltd,London,,Worker (A rating),Skilled Worker
11 BERKELEY STREET LIMITED,London,,Worker (A rating),Skilled Worker
11:FS GROUP LIMITED,London,,Worker (A rating),Skilled Worker
111 Skin Limited,London,Fritzovia,Worker (A rating),Skilled Worker
114 GPS Ltd  T/A Sushi Atelier,London,,Worker (A rating),Skilled Worker
11K Consulting Ltd,London,,Worker (A rating),Skilled Worker
11x Limited,London,n1,Worker (A rating),Skilled Worker
12 MM GROUP LTD,London,,Worker (A rating),Skilled Worker
12B Solicitors Limited,London,England,Worker (A rating),Skilled Worker
1313 Grays Limited,London,England,Worker (A rating),Skilled Worker
13th Street Hospitality Ltd t/a Sunday in Brooklyn,London,,Worker (A rating),Skilled Worker
14 PROMOTIONS (TRADE) LIMITED,London,,Worker (A rating),Skilled Worker
14 Septembre London Limited,London,,Worker (A rating),Skilled Worker
1416 DIGITAL LTD,London,,Worker (A rating),Skilled Worker
1440Sports Management LTD,London,London,Worker (A rating),Skilled Worker
1508 London Limited,London,,Worker (A rating),Skilled Worker
152 Harley Street Limited,London,London,Worker (A rating),Skilled Worker
16HarleyCo Limited,London,,Worker (A rating),Skilled Worker
17 Capital Services Ltd,London,,Worker (A rating),Skilled Worker
1783 Limited,London,,Worker (A rating),Skilled Worker
18 Degrees Below Ltd,London,,Worker (A rating),Skilled Worker
18.01 London Limited,London,,Worker (A rating),Skilled Worker
186 London Limited,London,,Worker (A rating),Skilled Worker
18A Charing Cross Dental Surgery,London,,Worker (A rating),Skilled Worker
1905 Group Limited T/A 1905,London,,Worker (A rating),Skilled Worker
197 Stoney Limited,London,,Worker (A rating),Skilled Worker
1A ORTHODONTICS LIMITED,London,,Worker (A rating),Skilled Worker
1E Limited,London,,Worker (A rating),Skilled Worker
1OAK CAPITAL LIMITED,London,,Worker (A rating),Skilled Worker
1ovmany ltd,London,,Worker (A rating),Skilled Worker
1PS Group Limited,London,,Worker (A rating),Skilled Worker
1ST ADTUBE LIMITED,London,,Worker (A rating),Skilled Worker
1ST ASSIST LIMITED,London,,Worker (A rating),Skilled Worker
1ST CHOICE CABS LTD,London,,Worker (A rating),Skilled Worker
1st Class Protection Ltd,London,,Worker (A rating),Skilled Worker
1ST VISA INTERNATIONAL LIMITED,London,,Worker (A rating),Skilled Worker
1stopbabystore ltd,London,,Worker (A rating),Skilled Worker
2 Chai Ltd,London,,Worker (A rating),Skilled Worker
2 EXCEL ENGINEERING LIMITED,London,,Worker (A rating),Skilled Worker
2 Picardy Road Ltd,London,,Worker (A rating),Skilled Worker
201 ASIAN KITCHEN,London,,Worker (A rating),Skilled Worker
20-20 Events Management Limited,London,,Worker (A rating),Skilled Worker
2023 Cool Foods Ltd T/A Oishii Sushi,London,Middlesex,Worker (A rating),Skilled Worker
2023 RE INVESTMENT MANAGEMENT LIMITED,London,,Worker (A rating),Skilled Worker
21 Soho Square Ltd,London,,Worker (A rating),Skilled Worker
21ST AMENDMENT LTD,London,,Worker (A rating),Skilled Worker
21st Architecture Ltd,London,,Worker (A rating),Skilled Worker
22 Hotel Management Limited,London,,Worker (A rating),Skilled Worker
24 7 Property Maintenance Ltd,London,,Worker (A rating),Skilled Worker
24 Seven UK Limited,London,,Worker (A rating),Skilled Worker
24Haymarket Limited,London,,Worker (A rating),Skilled Worker
24SQ LIMITED,London,,Worker (A rating),Skilled Worker
28 Trading Limited,London,,Worker (A rating),Skilled Worker
284 SERVICES LIMITED,London,,Worker (A rating),Skilled Worker
29FORWARD Ltd,London,,Worker (A rating),Skilled Worker
2A PRODUCTIONS LIMITED,London,,Worker (A rating),Skilled Worker
2CHE DESIGN LTD,London,,Worker (A rating),Skilled Worker
2CV Ltd,London,,Worker (A rating),Skilled Worker
2DT UK LTD,London,,Worker (A rating),Skilled Worker
2E Accountants Ltd,London,London,Worker (A rating),Skilled Worker
2E Apostille Services Ltd,London,,Worker (A rating),Skilled Worker
